iter	Passed	Remaining
0	5	5436
1	11	5787
2	16	5320
3	20	5180
4	25	4998
5	29	4919
6	34	4851
7	38	4820
8	43	4772
9	48	4756
10	52	4709
11	58	4811
12	64	4914
13	69	4879
14	74	4896
15	79	4859
16	83	4850
17	88	4813
18	93	4807
19	97	4775
20	102	4795
21	107	4798
22	111	4750
23	115	4690
24	118	4626
25	123	4634
26	128	4635
27	133	4644
28	139	4659
29	144	4670
30	149	4663
31	153	4652
32	158	4638
33	161	4592
34	166	4591
35	171	4589
36	175	4569
37	180	4558
38	186	4594
39	190	4582
40	195	4566
41	199	4556
42	204	4550
43	209	4541
44	213	4528
45	217	4517
46	222	4511
47	227	4503
48	232	4509
49	236	4502
50	242	4516
51	247	4511
52	251	4501
53	256	4491
54	262	4510
55	267	4510
56	273	4526
57	279	4531
58	283	4522
59	288	4515
60	292	4506
61	297	4500
62	301	4490
63	306	4485
64	311	4480
65	316	4484
66	321	4473
67	327	4493
68	332	4491
69	337	4485
70	341	4474
71	346	4463
72	352	4471
73	356	4463
74	362	4473
75	369	4486
76	373	4477
77	377	4465
78	382	4454
79	386	4444
80	391	4446
81	397	4445
82	402	4443
83	407	4441
84	412	4442
85	417	4442
86	422	4436
87	427	4428
88	432	4426
89	438	4431
90	442	4424
91	447	4419
92	452	4413
93	458	4419
94	463	4412
95	467	4404
96	472	4394
97	476	4385
98	481	4378
99	485	4370
100	490	4364
101	494	4356
102	499	4351
103	505	4353
104	509	4346
105	514	4337
106	518	4329
107	523	4323
108	528	4316
109	533	4314
110	540	4328
111	545	4327
112	551	4328
113	557	4333
114	565	4355
115	573	4367
116	578	4364
117	583	4360
118	590	4371
119	594	4363
120	599	4355
121	604	4352
122	611	4358
123	616	4352
124	621	4348
125	625	4339
126	630	4334
127	636	4335
128	641	4328
129	646	4327
130	650	4318
131	655	4309
132	659	4302
133	664	4295
134	670	4295
135	675	4290
136	679	4281
137	684	4274
138	688	4265
139	693	4259
140	697	4250
141	702	4242
142	706	4235
143	711	4232
144	716	4224
145	720	4216
146	725	4210
147	730	4202
148	734	4195
149	739	4188
150	744	4186
151	749	4179
152	755	4179
153	760	4179
154	765	4175
155	770	4167
156	775	4164
157	780	4159
158	785	4152
159	789	4145
160	794	4138
161	798	4130
162	803	4123
163	807	4116
164	812	4113
165	818	4111
166	823	4107
167	829	4109
168	834	4102
169	838	4095
170	843	4087
171	847	4079
172	851	4072
173	856	4065
174	862	4064
175	867	4059
176	872	4055
177	877	4051
178	881	4043
179	886	4036
180	890	4030
181	895	4023
182	900	4019
183	906	4019
184	911	4013
185	915	4008
186	920	4000
187	925	3996
188	929	3989
189	933	3981
190	939	3980
191	944	3973
192	949	3968
193	953	3961
194	957	3954
195	962	3948
196	968	3948
197	974	3946
198	979	3943
199	984	3937
200	990	3936
201	996	3935
202	1000	3929
203	1005	3922
204	1010	3916
205	1014	3910
206	1019	3904
207	1023	3896
208	1027	3890
209	1033	3889
210	1038	3883
211	1044	3880
212	1049	3879
213	1055	3875
214	1060	3870
215	1064	3863
216	1070	3861
217	1074	3853
218	1079	3848
219	1083	3841
220	1087	3834
221	1092	3828
222	1098	3827
223	1104	3826
224	1108	3819
225	1113	3814
226	1118	3808
227	1124	3807
228	1128	3800
229	1133	3794
230	1138	3788
231	1143	3784
232	1147	3777
233	1152	3772
234	1157	3766
235	1162	3763
236	1167	3758
237	1172	3753
238	1177	3748
239	1182	3743
240	1186	3736
241	1192	3734
242	1198	3732
243	1202	3726
244	1207	3721
245	1212	3715
246	1216	3708
247	1221	3703
248	1226	3699
249	1231	3694
250	1236	3689
251	1240	3682
252	1245	3676
253	1249	3670
254	1254	3664
255	1259	3660
256	1264	3654
257	1268	3648
258	1273	3643
259	1277	3637
260	1282	3631
261	1288	3629
262	1293	3624
263	1299	3622
264	1304	3617
265	1310	3615
266	1315	3611
267	1320	3607
268	1325	3601
269	1329	3595
270	1334	3589
271	1340	3587
272	1347	3589
273	1353	3586
274	1359	3583
275	1365	3582
276	1370	3577
277	1376	3575
278	1381	3571
279	1387	3568
280	1394	3567
281	1399	3564
282	1405	3561
283	1411	3557
284	1416	3554
285	1422	3552
286	1428	3548
287	1434	3545
288	1439	3541
289	1444	3537
290	1450	3534
291	1456	3532
292	1462	3528
293	1467	3523
294	1472	3518
295	1477	3513
296	1482	3508
297	1487	3503
298	1491	3497
299	1496	3492
300	1500	3485
301	1504	3478
302	1508	3469
303	1510	3459
304	1513	3449
305	1517	3440
306	1519	3431
307	1522	3421
308	1526	3412
309	1528	3402
310	1531	3392
311	1534	3382
312	1536	3372
313	1539	3364
314	1542	3354
315	1545	3345
316	1548	3336
317	1550	3326
318	1553	3316
319	1556	3308
320	1559	3297
321	1562	3290
322	1567	3285
323	1571	3279
324	1575	3272
325	1579	3265
326	1583	3258
327	1586	3251
328	1591	3246
329	1597	3242
330	1601	3237
331	1606	3232
332	1611	3227
333	1616	3223
334	1621	3218
335	1625	3212
336	1630	3207
337	1635	3202
338	1639	3197
339	1645	3193
340	1650	3189
341	1654	3183
342	1658	3177
343	1663	3172
344	1668	3168
345	1674	3164
346	1679	3159
347	1683	3154
348	1689	3151
349	1695	3148
350	1699	3142
351	1706	3141
352	1710	3135
353	1716	3133
354	1721	3127
355	1727	3124
356	1732	3120
357	1737	3115
358	1741	3109
359	1746	3104
360	1752	3101
361	1758	3098
362	1764	3095
363	1770	3092
364	1774	3087
365	1778	3081
366	1783	3076
367	1788	3071
368	1792	3065
369	1798	3061
370	1804	3058
371	1808	3053
372	1813	3047
373	1817	3042
374	1822	3037
375	1826	3031
376	1831	3026
377	1835	3020
378	1840	3015
379	1845	3011
380	1850	3005
381	1854	3000
382	1858	2994
383	1863	2989
384	1867	2983
385	1872	2978
386	1876	2972
387	1882	2968
388	1886	2963
389	1890	2957
390	1895	2952
391	1899	2946
392	1904	2941
393	1909	2936
394	1913	2931
395	1919	2928
396	1925	2925
397	1930	2920
398	1935	2915
399	1939	2909
400	1944	2904
401	1950	2901
402	1954	2895
403	1961	2893
404	1966	2889
405	1971	2884
406	1976	2880
407	1981	2874
408	1985	2869
409	1991	2865
410	1995	2860
411	2000	2854
412	2006	2851
413	2010	2846
414	2015	2840
415	2021	2838
416	2026	2832
417	2031	2828
418	2035	2822
419	2040	2818
420	2045	2812
421	2050	2808
422	2055	2804
423	2061	2800
424	2066	2795
425	2070	2789
426	2076	2786
427	2081	2781
428	2086	2776
429	2090	2771
430	2095	2766
431	2101	2763
432	2106	2758
433	2111	2754
434	2116	2748
435	2121	2743
436	2125	2738
437	2130	2733
438	2134	2727
439	2140	2723
440	2144	2718
441	2148	2712
442	2153	2708
443	2158	2703
444	2162	2697
445	2169	2694
446	2173	2688
447	2177	2683
448	2182	2677
449	2186	2672
450	2192	2669
451	2197	2663
452	2202	2659
453	2206	2653
454	2211	2648
455	2216	2643
456	2220	2638
457	2224	2632
458	2229	2627
459	2233	2622
460	2239	2618
461	2244	2613
462	2249	2608
463	2254	2604
464	2258	2598
465	2264	2594
466	2268	2589
467	2273	2584
468	2278	2579
469	2282	2574
470	2287	2568
471	2291	2563
472	2296	2558
473	2301	2554
474	2306	2549
